Name,Price,Descriptions
Юбка джинсовая ELIS,"
                5 999 ₽            ","Лаконичная прямая юбка из плотного хлопкового денима оттенка свежего лайма. Прочный лёгкий материал отлично тянется, обеспечивая не сковывающую движений посадку. Модель прямого силуэта, с притачным поясом со шлёвками под ремень, застёжкой на тесьму-молнию сзади и прямоугольными карманами. Юбку в стиле кэжуал можно дополнить актуальными блузами или легкими топами."
Вязаный топ из вискозы ELIS,"
                3 999 ₽            ","Вязаный топ эффектного прилегающего силуэта из фактурного тонкого полотна на основе экологичной вискозы в оттенке лайм. Лаконичная модель с горловиной ""американка"". Топ входит в базовый повседневный гардероб и может стать универсальной основой костюмов для офиса и путешествий в сочетании с юбками, брюками и жакетами."
Рубашка с объемными рукавами ELIS,"
                5 999 ₽            ","Белоснежная блуза выполнена из легкого хлопкового полотна. Дышащий материал приятен к коже и прост в уходе. Модель прямого силуэта, со стояче-отложным воротником, спущенной линией плеча и центральной застёжкой на планку с пуговицами. Объёмные рукава со сборками по окату присобраны у манжета, линия втачивания рукава декорирована  ажурным просвечивающим кружевом. Блуза в стиле смарт кэжуал дополнит повседневный образ любой сложности."
Брюки из хлопка укороченные ELIS,"
                6 499 ₽            ","Укороченные брюки розового цвета. Выполнены из лёгкого миксового полотна, хлопок приятен к телу, поливолокна отвечают за прочность, эластичный спандекс за удобную посадку по фигуре. Модель прямого силуэта, средней посадки, с притачным поясом со шлёвками под ремень, талиевыми вытачками и французскими карманами. Универсальные брюки дополнят лук в стиле кэжуал или станут альтернативой классическим брюкам для нестрогого офисного образа."
Платье-миди со льном ELIS,"
                7 999 ₽            ","Оригинальное платье-миди насыщенного салатового оттенка с полуоткрытой спиной. Выполнено из невесомого материала на основе натуральных льняных волокон и дышащей вискозы, придающих неповторимую текстуру полотну. Модель А-силуэта, с эластичным поясом-акцентом на талии, круглой горловиной и подолом с лёгкими драпировками. Верхняя часть платья присборена спереди на талии на резинку, задняя часть платья - отлетная. Образ можно дополнить открытыми босоножками или мюлями."
Рубашка изо льна и хлопка ELIS,"
                5 999 ₽            ","Яркая рубашка с завязками насыщенного желтого цвета окрашенная в технике тай-дай. Выполнена из лёгкого материала на основе дышащего хлопка и натуральных льняных волокон. Модель прямого силуэта, со стояче-отложным воротником, длинным рукавом с манжетом, центральной застёжкой на пуговицы и накладным карманом на груди. Удлиненные полы завязаны в комфортный узел на талии. Образ можно дополнить юбкой, шортами или джинсами."
Джинсовая юбка-карандаш ELIS,"
                5 999 ₽            ","Лаконичная юбка из плотного хлопкового денима деликатного светло-голубого оттенка. Прочный лёгкий материал отлично тянется, обеспечивая не сковывающую движений посадку. Модель прямого силуэта, с притачным поясом со шлёвками под ремень и французскими карманами. Длина изделия чуть выше колена. Юбку в стиле кэжуал можно дополнить актуальными блузами или легкими топами."
Блуза из модала ELIS,"
                4 999 ₽            ","Необычная блуза с завязками насыщенного розового оттенка выполнена из лёгкого мягкого полотна на основе модала - инновационного вискозного материала из буковой или эвкалиптовой древесины. Модель прямого силуэта, со стояче-отложным воротником, свободным коротким рукавом, центральной застёжкой на пуговицы и сборками по линии плеча. Удлиненные полы спереди завязаны в комфортный узел. Образ можно дополнить юбкой, шортами или джинсами."
Свободная рубашка изо льна ELIS,"
                6 999 ₽            ","Рубашка свободного кроя ментолового оттенка выполнена из натурального льняного полотна. Органический материал с неповторимой текстурой защищает от жары, не позволяя коже перегреваться. Модель прямого силуэта, среднего объёма, со стояче-отложным воротником, спущенной линией плеча, свободным втачным рукавом с манжетом на пуговице, центральной застёжкой на пуговицы и накладным карманом на груди. Составит однотонный тотал-лук с брюками-кюлотами из того же материала."
Брюки изо льна с кулиской ELIS,"
                6 999 ₽            ","Трендовые прямые брюки насыщенного зелёного цвета выполнены из натурального льняного полотна. Органический материал с неповторимой текстурой защищает от жары, не позволяя коже перегреваться. Модель прямого силуэта, укороченные, с боковыми карманами. Эластичный пояс-резинка с регулируемой кулиской обеспечивает не сковывающую движений посадку. Составит однотонный тотал-лук с оверсайз рубашкой из той же ткани."
